City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
163,Sherghati,IN,80.22,overcast clouds,24.5667,84.7833,Birju_sang_kunti_bhaban
166,Gull Lake,CA,80.96,few clouds,50.1001,-108.4847,Campbell's Accommodations
167,Dzaoudzi,YT,76.89,few clouds,-12.7887,45.2699,Le Rocher
171,Iralaya,HN,80.56,clear sky,15.0,-83.2333,Iglesia morava renovada
173,Arraial Do Cabo,BR,68.99,clear sky,-22.9661,-42.0278,Pousada Porto Praia
174,Cabanas,CU,77.47,light rain,22.9758,-82.9219,Villa Luis Montesino y Anabel
175,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
177,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
180,Curup,ID,71.47,overcast clouds,-3.4667,102.5333,Ayi The Costel
181,Bengkulu,ID,77.76,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
182,Pouebo,NC,74.91,scattered clouds,-20.4,164.5667,RIVÂT LODGE
184,Santa Barbara,US,77.77,clear sky,34.7333,-120.0343,Upper Ballard Campground
185,Vao,NC,68.58,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
188,Linqing,CN,78.15,clear sky,36.8456,115.7117,Dongfang Hotel
189,Ribeira Grande,PT,72.34,broken clouds,38.5167,-28.7,Quinta da Meia Eira
190,Nassau,US,76.66,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
191,Tecoanapa,MX,80.38,scattered clouds,16.5167,-98.75,Hotel Manglares
193,Yala,TH,76.35,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
195,Pasighat,IN,79.09,overcast clouds,28.0667,95.3333,Siang Guest House
196,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
200,Aksay,RU,68.74,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
201,Kashi,CN,74.23,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
203,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
205,Sulangan,PH,82.85,overcast clouds,11.1373,123.7228,Maia's Beach Resort
211,Caravelas,BR,69.8,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
213,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
214,Hearst,CA,75.45,scattered clouds,49.6835,-83.6665,Companion
215,Natal,BR,74.05,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
216,Keti Bandar,PK,79.48,overcast clouds,24.1447,67.4497,Haji laloo memon house
220,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
222,Maceio,BR,72.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
224,Fougamou,GA,73.67,few clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
226,Camacha,PT,83.16,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
229,Gebze,TR,71.8,clear sky,40.8028,29.4307,Holiday Inn Gebze - Istanbul Asia
233,Kampot,KH,78.85,few clouds,10.6167,104.1833,Two Moons Hotel
234,Guerrero Negro,MX,75.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
235,Abashiri,JP,70.09,broken clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
240,Elat,IL,82.22,clear sky,29.5581,34.9482,Club Hotel Eilat
242,Nara,JP,79.92,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
243,Lasa,IT,68.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
246,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
247,Road Town,VG,81.19,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
249,Bumba,CD,69.73,scattered clouds,2.1833,22.4667,Hôtel Cape Town
251,Olga,RU,70.45,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
253,Grand-Lahou,CI,73.71,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
257,Kamloops,CA,84.58,smoke,50.6665,-120.3192,Ramada by Wyndham Kamloops
258,Slave Lake,CA,75.18,broken clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
259,Fushun,CN,73.11,light rain,41.8558,123.9233,Love Theme Apartment Xinhua Branch
260,Baculin,PH,80.28,light rain,7.4525,126.5842,Shovy's Cove
261,Sarangani,PH,82.9,moderate rain,5.4033,125.4636,Ballistic Islet
263,Trenggalek,ID,77.2,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
265,Mantua,IT,79.83,light rain,45.1667,10.7833,Hotel la Favorita
266,Noumea,NC,73.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
269,Chaohu,CN,77.11,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
270,Bari,IT,80.87,clear sky,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
280,Ruteng,ID,71.17,clear sky,-8.6136,120.4721,Hotel FX72 Ruteng
281,Chandrakona,IN,82.38,broken clouds,22.7333,87.5167,Roy Mansion 3
283,Murska Sobota,SI,69.21,clear sky,46.6625,16.1664,Hotel Strk
284,Sao Francisco,BR,75.49,overcast clouds,-15.9486,-44.8644,Hotel Supremo
285,Kavieng,PG,83.79,light rain,-2.5744,150.7967,Nusa Island Retreat
290,Guane,CU,78.85,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
291,Cabras,IT,75.69,clear sky,39.93,8.5314,Hotel Villa Canu
292,Inirida,CO,72.61,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
294,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
295,Salina Cruz,MX,83.35,broken clouds,16.1667,-95.2,Amerik HOTEL
297,Yuncheng,CN,75.67,overcast clouds,35.0231,110.9928,晋州快捷酒店
