City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
169,Bahia Blanca,AR,-38.7196,-62.2724,54.1,48,100,10.51,overcast clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,90,6.91,overcast clouds
171,Iralaya,HN,15.0,-83.2333,80.56,80,3,7.63,clear sky
172,Kidal,ML,18.4411,1.4078,90.7,36,9,7.23,clear sky
173,Arraial Do Cabo,BR,-22.9661,-42.0278,68.99,84,1,15.12,clear sky
174,Cabanas,CU,22.9758,-82.9219,77.47,82,100,7.76,light rain
175,Georgetown,MY,5.4112,100.3354,81.9,87,20,1.01,few clouds
176,Huarmey,PE,-10.0681,-78.1522,63.16,83,63,10.16,broken clouds
177,Hithadhoo,MV,-0.6,73.0833,82.71,70,100,14.16,overcast clouds
178,Bayburt,TR,40.2589,40.2278,57.42,83,99,1.92,overcast clouds
179,Maridi,SS,4.9158,29.4742,65.12,96,65,3.56,broken clouds
180,Curup,ID,-3.4667,102.5333,71.47,90,99,4.14,overcast clouds
181,Bengkulu,ID,-3.8004,102.2655,77.76,81,68,4.65,broken clouds
182,Pouebo,NC,-20.4,164.5667,74.91,53,48,14.9,scattered clouds
183,Vizinga,RU,61.0749,50.1031,59.76,70,91,8.39,overcast clouds
184,Santa Barbara,US,34.7333,-120.0343,77.77,32,0,6.78,clear sky
185,Vao,NC,-22.6667,167.4833,68.58,60,82,16.78,broken clouds
186,Kaitangata,NZ,-46.2817,169.8464,56.39,52,100,11.65,overcast clouds
187,Togul,RU,53.465,85.9128,58.24,86,0,2.19,clear sky
188,Linqing,CN,36.8456,115.7117,78.15,77,0,1.39,clear sky
189,Ribeira Grande,PT,38.5167,-28.7,72.34,86,82,4.12,broken clouds
190,Nassau,US,40.7507,-73.5829,76.66,74,1,4.61,clear sky
191,Tecoanapa,MX,16.5167,-98.75,80.38,85,30,4.63,scattered clouds
192,Sorland,NO,67.667,12.6934,51.85,78,100,18.39,overcast clouds
193,Yala,TH,6.3333,101.25,76.35,91,100,1.34,overcast clouds
194,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.79,64,0,5.41,clear sky
195,Pasighat,IN,28.0667,95.3333,79.09,91,100,0.54,overcast clouds
